text,vader,textblob,bertmulti,mistral
A la RECHERCHE DU TEMPS PERDU,0.0,0.0,5,0.5
Du Cote de Chez Swann,0.0,0.0,4,0.0
A Monsieur Gaston Calmette,0.0,0.0,5,0.0
"_Comme un temoignage de profonde et affectueuse reconnaissance_,",0.0,0.0,5,1.0
Marcel Proust.,0.0,0.0,5,0.0
"Longtemps, je me suis couche de bonne heure.",0.0,0.0,5,0.8
"Parfois, a peine ma bougie eteinte, mes yeux se fermaient si vite que je n'avais pas le temps de me dire: Je m'endors.",-0.4588,0.0,2,0.8
"Et, une demi-heure apres, la pensee qu'il etait temps de chercher le sommeil m'eveillait; je voulais poser le volume que je croyais avoir encore dans les mains et souffler ma lumiere; je n'avais pas cesse en dormant de faire des reflexions sur ce que je venais de lire, mais ces reflexions avaient pris un tour un peu particulier; il me semblait que j'etais moi-meme ce dont parlait l'ouvrage: une eglise, un quatuor, la rivalite de Francois Ier et de Charles Quint.",0.0,0.0,2,0.6
Cette croyance survivait pendant quelques secondes a mon reveil; elle ne choquait pas ma raison mais pesait comme des ecailles sur mes yeux et les empechait de se rendre compte que le bougeoir n'etait plus allume.,0.0,0.0,2,0.5
"Puis elle commencait a me devenir inintelligible, comme apres la metempsycose les pensees d'une existence anterieure; le sujet du livre se detachait de moi, j'etais libre de m'y appliquer ou non; aussitot je recouvrais la vue et j'etais bien etonne de trouver autour de moi une obscurite, douce et reposante pour mes yeux, mais peut-etre plus encore pour mon esprit, a qui elle apparaissait comme une chose sans cause, incomprehensible, comme une chose vraiment obscure.",0.0,0.0,2,0.4
"Je me demandais quelle heure il pouvait etre; j'entendais le sifflement des trains qui, plus ou moins eloigne, comme le chant d'un oiseau dans une foret, relevant les distances, me decrivait l'etendue de la campagne deserte ou le voyageur se hate vers la station prochaine; et le petit chemin qu'il suit va etre grave dans son souvenir par l'excitation qu'il doit a des lieux nouveaux, a des actes inaccoutumes, a la causerie recente et aux adieux sous la lampe etrangere qui le suivent encore dans le silence de la nuit, a la douceur prochaine du retour.",-0.743,-0.2,3,0.8
"J'appuyais tendrement mes joues contre les belles joues de l'oreiller qui, pleines et fraiches, sont comme les joues de notre enfance.",0.0,0.0,2,0.95
Je frottais une allumette pour regarder ma montre.,0.0,0.0,2,0.5
Bientot minuit.,0.0,0.0,2,0.0
"C'est l'instant ou le malade, qui a ete oblige de partir en voyage et a du coucher dans un hotel inconnu, reveille par une crise, se rejouit en apercevant sous la porte une raie de jour.",0.0,0.0,3,0.85
"Quel bonheur, c'est deja le matin!",0.0,0.0,5,1.0
"Dans un moment les domestiques seront leves, il pourra sonner, on viendra lui porter secours.",0.0,0.0,3,0.8
L'esperance d'etre soulage lui donne du courage pour souffrir.,0.4939,0.0,4,0.25
"Justement il a cru entendre des pas; les pas se rapprochent, puis s'eloignent.",0.0,0.0,3,0.5
Et la raie de jour qui etait sous sa porte a disparu.,0.0,0.0,1,0.6
C'est minuit; on vient d'eteindre le gaz; le dernier domestique est parti et il faudra rester toute la nuit a souffrir sans remede.,0.0,0.0,1,-0.95
"Je me rendormais, et parfois je n'avais plus que de courts reveils d'un instant, le temps d'entendre les craquements organiques des boiseries, d'ouvrir les yeux pour fixer le kaleidoscope de l'obscurite, de gouter grace a une lueur momentanee de conscience le sommeil ou etaient plonges les meubles, la chambre, le tout dont je n'etais qu'une petite partie et a l'insensibilite duquel je retournais vite m'unir.",0.3182,0.0,5,0.35
"Ou bien en dormant j'avais rejoint sans effort un age a jamais revolu de ma vie primitive, retrouve telle de mes terreurs enfantines comme celle que mon grand-oncle me tirat par mes boucles et qu'avait dissipee le jour,--date pour moi d'une ere nouvelle,--ou on les avait coupees.",0.0,0.0,5,0.5
"J'avais oublie cet evenement pendant mon sommeil, j'en retrouvais le souvenir aussitot que j'avais reussi a m'eveiller pour echapper aux mains de mon grand-oncle, mais par mesure de precaution j'entourais completement ma tete de mon oreiller avant de retourner dans le monde des reves.",0.0,0.0,5,0.65
"Quelquefois, comme Eve naquit d'une cote d'Adam, une femme naissait pendant mon sommeil d'une fausse position de ma cuisse.",0.0,0.0,2,0.5
"Formee du plaisir que j'etais sur le point de gouter, je m'imaginais que c'etait elle qui me l'offrait.",0.0,0.0,4,0.95
"Mon corps qui sentait dans le sien ma propre chaleur voulait s'y rejoindre, je m'eveillais.",0.0,0.0,5,0.8
"Le reste des humains m'apparaissait comme bien lointain aupres de cette femme que j'avais quittee il y avait quelques moments a peine; ma joue etait chaude encore de son baiser, mon corps courbature par le poids de sa taille.",0.0,0.0,2,0.8
"Si, comme il arrivait quelquefois, elle avait les traits d'une femme que j'avais connue dans la vie, j'allais me donner tout entier a ce but: la retrouver, comme ceux qui partent en voyage pour voir de leurs yeux une cite desiree et s'imaginent qu'on peut gouter dans une realite le charme du songe.",-0.0644,0.0,3,0.95
"Peu a peu son souvenir s'evanouissait, j'avais oublie la fille de mon reve.",0.0,0.0,2,0.5
